u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
0,48,101,0,101,0.004154612941521507,172132,162819,Killed
1,60,1,467,78,0.9816977991975158,16564,856,Pass
2,25,1,67,2,0.967706765102994,2646,87647,Pass
3,15,1,0,20,77.25189329652666,173397,3020,Killed
4,63,1,72,32,2790.669319354739,50975,40781,Killed
5,56,1,101,5,1.0276662396768714,80988,88383,Pass
6,25,1,2325,4,0.004154612941521507,177,61327,Killed
7,144,1,30,1,251.63135782351827,11288,1174,Failed
8,104,1,56,2,72.16388633098913,21287,49018,Failed
9,71,1,0,1,4.236066847001413,122,6586,Pass
10,63,1,64,2,4.575318557940601,68,86504,Pass
11,42,1,0,1,53.92117255995127,47,86994,Failed
12,2,27,0,51,0.9277243629250149,173397,172800,Killed
13,119,25,0,104,273.5600269436966,64,162237,Killed
14,102,1,0,1,1.2125722198679285,148801,172572,Pass
15,140,27,0,1,1.2360057607300166,14961,1265,Pass
16,105,28,0,3,128.73571920691862,80949,172677,Killed
17,26,1,23791,4,1.008645203815662,89322,4625,Pass
18,25,1,60,2,0.004154612941521507,2123,2383,Pass
19,64,1,20,1,1.0420075118267114,20,861,Failed
20,65,1,187,3,130.49256112265383,61,87014,Pass
21,41,41,0,216,250.28690686582792,108312,88255,Killed
22,26,1,95,3,55.20208776361196,1938,88552,Pass
23,73,4,0,1,1.2159207664860652,87439,172800,Pass
24,79,1,61,2,3.4275257814222755,55,38264,Pass
25,87,4,0,1,664.2248462757636,67,4247,Failed
26,63,1,59,2,3.192062981047961,2718,88096,Pass
27,63,1,72,2,5.055288510961487,73537,56413,Killed
28,79,1,26,1,189.74706324530683,62,2188,Pass
29,102,1,8282,4,33.16069690419737,24348,40416,Killed
30,79,1,52,1,3.427007413642494,127,88663,Pass
31,63,1,59,2,0.004154612941521507,58614,51917,Killed
32,37,1,468,15,201.38408959387306,112516,3687,Killed
33,121,1,58,3,4.276123982960592,36,86302,Pass
34,78,1,61,2,0.004154612941521507,70,52788,Pass
35,25,1,3025,102,2.65209869345067,51208,43553,Killed
36,68,14,12116,4,0.8192062327863723,2259,172800,Killed
37,72,1,51,7,0.9301176245653606,1819,88768,Pass
38,42,1,798,10,4.925988371946014,89149,172800,Killed
39,25,1,602,7,30.492180496328363,2353,86154,Pass
40,120,1,47,1,5.352473700411597,41,5342,Pass
41,68,1,68,8,1798.4574165062163,75117,172800,Pass
42,55,1,1080,9,71.35510621642457,37816,667,Pass
43,119,4,2803,104,4.004521572051298,49021,161974,Killed
44,94,1,146,13,1.559734147295391,84230,89794,Pass
45,44,1,0,1,1.4093694612903764,151190,172800,Killed
46,72,1,64,4,70.20576454873168,77900,41011,Pass
47,135,24,0,4,4.682298670396933,134608,172800,Killed
48,119,103,0,91,0.004154612941521507,32,163003,Killed
49,5,1,2787,4,4.4615446533092795,50,85264,Pass
50,63,1,973,5,566.9736276416045,1941,172800,Pass
51,87,1,0,1,1.4079236307303713,11,161289,Failed
52,120,5,0,20,3.1993538676222326,172879,172800,Pass
53,25,1,580,2,49.342033407409275,40594,87618,Pass
54,78,1,33280,1,347.61235394495645,637,5257,Pass
55,87,5,0,95,1.1214397635565643,22,172746,Failed
56,40,1,19810,392,47.23037868697704,172308,88095,Pass
57,46,1,981,393,3.798637858016951,30909,6263,Pass
58,69,1,3185,11,11.915105298425607,42370,86652,Pass
59,25,1,74,2,84.90868390860442,2391,86525,Pass
60,121,1,15,21,94.48328461914612,77,931,Pass
61,63,1,74,36,0.004154612941521507,63224,42707,Killed
62,74,1,67,3,0.004154612941521507,96177,88048,Pass
63,119,105,0,99,1.251043471216505,63,162642,Killed
64,63,1,65,2,0.004154612941521507,1538,88347,Pass
65,63,1,55,7,16.660914840312127,18484,88760,Pass
66,43,28,0,33,0.8574813183978752,173397,172800,Killed
67,12,1,0,41,29.700616077803964,118120,172800,Killed
68,119,101,0,107,2.5033891219736826,47096,162735,Killed
69,25,1,31,4,3.942222150906249,142,127878,Pass
70,76,1,661,4,3.6680197981880855,82102,89092,Pass
71,25,1,62,579,4.3090717255611075,2452,988,Pass
72,25,1,61,2,3.9872762486114586,21135,38629,Killed
73,72,1,65,2,171.26039836296087,2047,46456,Failed
74,63,1,55,2,0.9196139319938803,38,87354,Failed
75,29,1,380,4,219.62422810232803,88711,88605,Pass
76,103,1,1344,1,94.42794476059935,18229,172800,Pass
77,25,1,3681,98,0.004154612941521507,26627,87200,Killed
78,50,1,260,16,13.298009241118352,37610,88069,Killed
79,119,94,0,96,0.004154612941521507,52,163248,Killed
80,63,1,532,7,4.235719236314776,40,88811,Pass
81,72,1,63,2,207.62018546548674,76,53573,Failed
82,108,5,0,17,3.5804896570454687,171653,151114,Killed
83,25,1,3321,59,83.54027633695675,41654,87985,Killed
