u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
0,48,0,6,3,238.08708805032916,83655,22042,Killed
1,60,5,0,6,120.07034677686998,173397,172459,Killed
2,25,0,3068,81,0.0,1228,1802,Pass
3,15,0,156,4,66.08538362547924,42,86449,Failed
4,25,0,0,3,0.0,18119,162142,Killed
5,56,0,11,4,102.28982643960119,11535,172800,Pass
6,119,0,16,3,0.0,870,161657,Killed
7,144,0,0,1,0.0,390,172800,Failed
8,104,0,247,15,50.97393059325263,1019,1165,Failed
9,63,0,62,2,0.22543916039904133,5050,86323,Pass
10,78,0,0,8,0.0,1148,171952,Pass
11,120,0,37,1,138.53668357309914,385,37510,Failed
12,2,2,419,4,0.0,602,3418,Pass
13,7,0,2277,60,156.18191762965182,1598,19020,Killed
14,56,0,79,4,0.0,84872,86181,Pass
15,140,0,782,3,159.80124773049442,86437,172410,Killed
16,105,1,0,1,132.23124686817553,173397,172800,Killed
17,26,0,298,20,2494.5566980416907,23615,4562,Pass
18,24,0,514,23,0.0,314,300,Pass
19,120,8,65,1,0.0,165843,171954,Failed
20,65,5,356,21,181.11343514880696,4,86348,Killed
21,41,0,122,5,418.28354694049244,98248,2192,Killed
22,26,0,541,303,91.11116907401086,1232,940,Pass
23,73,1,83,17,423.2468924294547,871,172273,Pass
24,79,0,734,16,232.56039400095068,362,300,Pass
25,36,6,0,2,185.1219385008764,4,162121,Failed
26,63,0,0,1,1.93740531270576,11576,86008,Pass
27,119,100,0,4,0.0,1257,164563,Killed
28,36,0,0,2,168.9799450785403,28450,86873,Pass
29,102,0,132,2,82.26567420470565,86382,64116,Killed
30,79,0,0,96,0.0,543,86810,Pass
31,119,101,0,102,0.0,168428,161879,Killed
32,37,0,771,428,218.64659193789282,130,3752,Pass
33,121,0,18,1,41.994752920029875,169443,172511,Killed
34,63,0,90,4,325.94097818154944,1630,86524,Pass
35,25,103,0,99,91.7892699799052,88690,86348,Killed
36,68,1,94,4,125.67853517648115,31735,612,Pass
37,72,0,24,20,103.66880233803764,4,47358,Pass
38,42,0,486,28,280.791938557809,2146,733,Killed
39,25,0,820,35,265.5481373802942,1632,300,Pass
40,63,0,0,1,0.0,12254,86010,Pass
41,68,0,80,3,203.08224631612956,167317,172800,Pass
42,55,0,69,4,43.373487117919495,36769,50719,Pass
43,119,0,83,2,0.0,57455,86073,Killed
44,94,1,35,3,187.4487248188331,173031,172800,Pass
45,44,0,842,28,0.0,1827,338,Pass
46,72,0,0,1,0.0,23031,43611,Failed
47,135,0,76,2,0.0,38204,172800,Pass
48,25,0,3837,63,271.33261390558226,783,86574,Killed
