u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
0,119,22,34,10,3.4266826542575934,186,109782,Killed
1,25,2,482,8,0.004154613128787657,19636,74856,Pass
2,79,19,44,17,1112.2209749281885,52641,122436,Pass
3,79,175,0,40,5.469234516348006,115178,152255,Killed
4,29,29,1,1,51.56833554015414,2192,168328,Pass
5,25,4,70,2,0.2597337327249716,93452,172420,Pass
6,63,2,674,12,74.8680986273104,24138,55494,Pass
7,58,1,4137,49,0.004179843119543562,95246,170362,Pass
8,25,1,3330,29,243.17830768601667,79651,98033,Pass
9,25,1,3188,43,319.0086198662851,34904,26323,Killed
10,119,88,5,25,3373.4541169599424,7,147426,Pass
11,25,12,10,9,6.079200693991735,23547,166488,Pass
12,63,6,1293,110,71.31841663758055,113097,163175,Pass
13,121,3,1220,71,0.5282954580887761,3968,41530,Pass
14,149,51,59,38,0.8399450119832417,7366,166757,Pass
15,119,3,909,22,1.1089509767393255,11087,172800,Pass
16,119,55,82,163,3.1054494907673096,4,54459,Pass
17,25,5,304,4,0.5093550145678698,254,6654,Pass
18,36,12,17,1,0.2720341439696709,5,104086,Pass
19,79,135,9,235,0.005132278601589808,68999,89832,Pass
20,119,13,21,6,101.94913033877982,49125,172527,Killed
21,119,13,761,54,4343.863656726148,12667,26588,Pass
22,36,1,978,3,0.006176578366920975,26073,99727,Killed
23,25,1,1247,2,3.875001956753567,5440,98241,Pass
24,25,1,2906,22,815.0125604393496,128510,34766,Pass
25,149,150,0,9,698.6454186381765,1778,151566,Failed
26,15,1,1723,136,62.359381194248094,120522,160322,Pass
27,25,26,125,58,1002.4138795484295,7267,136571,Killed
28,25,20,633,133,174.61510457451612,33116,158523,Killed
29,111,29,997,135,8053.356188990518,20934,64400,Killed
30,63,3,2566,39,2.6766306670539617,11351,124458,Killed
31,63,9,431,68,0.07340206834598978,8,22977,Killed
32,25,5,91,6,0.004352715906683019,8049,69897,Pass
33,72,58,1,1,0.048046076624529956,40426,36219,Killed
34,76,8,12,1,3.7612145608710432,1973,143451,Pass
35,25,1,857,1,2.176020375762413,124136,130126,Pass
36,63,41,2,2,3.9099889067841005,231,69154,Pass
37,55,2,1120,21,238.89885485752353,112702,67832,Pass
38,63,34,249,86,4.145064118252089,21,70118,Killed
39,25,7,141,11,2896.5194941119257,60354,58816,Pass
40,4,4,695,28,3931.729573006652,5,121002,Pass
41,25,1,6754,32,0.12720822669260431,255,81016,Pass
42,25,2,937,29,0.004768316746053612,628,28966,Pass
43,63,3,2105,40,969.7774875572121,156,117244,Pass
44,25,2,1958,68,100.68800765956712,10247,78846,Pass
45,25,2,600,5,1.3618035245103035,27,14959,Pass
46,25,5,490,20,73.3748708743507,547,117002,Pass
47,6,1,2527,1,7547.3928410193785,54964,155086,Pass
48,71,7,152,8,122.73070238669548,6412,121373,Killed
49,63,1,324,1,1129.1934231621722,75879,137570,Killed
50,64,19,995,178,0.004155938106839616,4,22607,Killed
51,63,22,1239,233,409.57891223673005,989,112678,Killed
52,25,4,399,28,9173.12410659024,65836,54119,Pass
53,29,135,0,5,32.74664073705108,4578,26843,Pass
54,149,102,0,1,2918.803257192528,76,143519,Killed
55,1,1,1950,41,325.4110208652433,135645,43639,Pass
56,89,103,0,23,982.6140945099031,38529,161449,Pass
57,36,35,22,53,2797.0632019892396,73424,152104,Pass
58,119,259,0,2,1786.2804489832724,44586,172767,Killed
59,87,55,3,42,0.3433236879365246,42,166725,Pass
60,25,1,3220,27,87.99536586480792,62488,157140,Killed
61,36,1,1541,2,107.64849770274076,12923,23167,Pass
62,63,24,7,2,324.04834679546076,2490,110123,Killed
63,36,1,3766,42,1.7023903527575424,74,23457,Pass
64,63,44,1,7,1532.7145348876554,37608,171702,Killed
65,25,15,635,119,0.7423352646965297,18797,114388,Pass
66,25,1,1502,1,178.73979023361917,118994,162809,Killed
67,25,8,61,2,25.28734197891088,117399,91194,Killed
68,146,73,0,8,1.0913520922330109,6905,168395,Killed
69,63,13,130,11,0.3189291728941753,917,73043,Pass
70,68,161,0,33,0.10389946507984402,270,153016,Pass
71,63,1,1107,1,0.005746403203297894,101921,148050,Pass
72,25,3,2293,60,27.83068003133805,10657,102548,Killed
73,49,7,2686,216,3421.69568370536,7194,95961,Pass
74,78,14,55,21,1025.7885242000716,4,126553,Killed
75,25,1,3287,49,0.021399100398076167,4899,8297,Pass
76,149,10,325,24,21.824008456995305,222,162363,Pass
77,2,1,551,3,559.2969300096811,31279,11242,Pass
78,25,1,3052,7,0.12280955976554693,160838,170745,Killed
79,25,112,24,310,0.9236996352393491,26269,151195,Killed
80,25,22,177,105,39.20455032243856,16862,123290,Killed
81,25,22,506,113,0.22324615189574606,65,113511,Killed
82,2,1,3587,38,261.52025626390946,11504,102833,Pass
83,79,11,245,12,0.12285210623030061,4,65558,Pass
84,63,23,108,40,1.9972683243913965,75354,44354,Pass
85,25,3,1196,32,0.046162745398965234,13,96570,Pass
86,119,3,349,21,212.23641509855582,34232,17576,Pass
87,63,61,0,8,0.004154626608272303,4576,108930,Pass
88,119,7,275,6,3560.499585623515,82517,163766,Killed
89,58,2,1086,7,6538.4944549077045,12,136460,Pass
90,55,9,224,77,685.368666629173,305,143017,Pass
91,63,2,675,2,3181.129046700647,3950,63324,Pass
92,55,5,178,4,0.369958103682472,168,143733,Pass
93,63,2,1750,6,0.03769267100522139,2014,18062,Pass
94,63,22,4,3,41.48813985478556,27362,107881,Killed
95,6,1,6995,15,0.4796687650708068,141623,112600,Pass
96,25,1,669,5,0.004194076961659315,36246,165906,Pass
97,101,7,417,7,384.2860537006637,1150,172512,Pass
98,25,22,79,35,0.004154948165709071,97054,169788,Pass
99,63,35,13,21,1068.519850052882,60117,116069,Pass
100,21,16,109,57,0.22777938983665746,28027,36419,Pass
101,25,1,619,1,191.74770553731432,3054,41494,Pass
102,120,22,1,1,1811.677727835496,345,172084,Pass
103,64,122,2,86,2691.6428872275656,5127,145787,Killed
104,25,9,77,13,183.15067872292337,216,29407,Pass
105,25,13,56,2,0.01013582805177593,68002,170780,Pass
106,36,1,8146,73,0.14532069454697732,134858,153989,Pass
107,63,1,1205,7,0.19097600509553941,951,166019,Killed
108,53,1,1797,2,1626.2843633963637,85847,165043,Pass
109,25,8,155,6,2188.5906047991157,5,65888,Pass
110,63,13,6,1,6.911060682349357,107,148219,Pass
111,88,16,1005,74,279.2788642329004,5211,170839,Pass
112,25,1,4216,1,183.23209317060304,406,14326,Pass
113,63,6,246,24,2.9757698888451847,57517,89953,Pass
114,63,3,902,7,665.323838419825,8487,135713,Pass
115,149,85,2,16,200.71520861832116,79,101825,Killed
