u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
0,1,0,86464,2702,0,233,43200,Pass
1,1,0,86464,2702,403625,242,43200,Pass
2,2,12,0,12,4488422,57845,86400,Pass
3,2,12,0,12,2,58188,86400,Pass
4,2,12,0,12,2,57947,86400,Pass
5,2,12,0,12,2,57111,86400,Pass
6,2,12,0,12,2,57798,86400,Pass
7,2,12,0,12,1,57690,86400,Pass
8,2,12,0,12,2,61559,86400,Pass
9,2,12,0,12,2,64501,86400,Pass
10,2,12,0,12,3,70115,86400,Pass
11,2,12,0,12,2,57603,86400,Pass
12,2,12,0,12,2,58194,86400,Pass
13,2,12,0,12,1,57290,86400,Pass
14,2,12,0,12,1,49479,86400,Pass
15,2,12,0,12,0,49479,86400,Pass
16,2,12,0,12,2,18,86400,Killed
17,2,12,0,12,336,60266,86400,Pass
18,2,12,0,12,1,60005,86400,Pass
19,2,12,0,12,1,59475,86400,Pass
20,2,12,0,12,2,58479,86400,Pass
21,2,12,0,12,1,60554,86400,Pass
22,2,12,0,12,1,58628,86400,Pass
23,2,12,0,12,1,64261,86400,Pass
24,2,12,0,12,1,67047,86400,Pass
25,2,12,0,12,1,66844,86400,Pass
26,2,12,0,12,1,59260,86400,Pass
27,2,12,0,12,1,59262,86400,Pass
28,2,12,0,12,1,58693,86400,Pass
29,2,12,0,12,1,31961,86400,Pass
30,2,12,0,12,0,31961,86400,Pass
31,2,12,0,12,2,17,86400,Killed
32,3,460,0,460,205829,173035,172800,Killed
33,4,0,8192,256,52912,172206,172500,Pass
34,4,0,8192,256,3,170292,172500,Pass
35,4,0,8192,256,2,28433,172500,Pass
36,4,0,8192,256,86,2633,172500,Pass
37,5,0,16384,512,75414,28,172800,Failed
38,4,0,8192,256,36776,2554,172500,Pass
39,4,0,8192,256,94,2640,172500,Pass
40,4,0,8192,256,3,2607,172500,Pass
41,4,0,8192,256,176,5848,172500,Pass
42,5,0,65536,2048,244532,72438,172800,Pass
43,5,0,65536,2048,13,26081,172800,Killed
44,3,460,0,460,143948,96272,172800,Pass
45,3,460,0,460,0,96272,172800,Pass
46,3,460,0,460,33,173397,172800,Killed
47,6,0,8192,256,78264,82311,86400,Pass
48,7,0,1024,32,109587,172747,172720,Killed
49,7,0,1024,32,1,134201,135237,Killed
50,7,0,1024,32,18,172754,172720,Killed
51,7,0,1024,32,2,102822,104570,Killed
52,7,0,1024,32,1,11776,172740,Killed
53,8,0,20096,628,71062,86613,86400,Killed
54,8,0,20096,628,2,86593,86400,Killed
55,8,0,20096,628,2,86970,86400,Killed
56,8,0,20096,628,2,86552,86400,Killed
57,8,0,20096,628,1,130,86400,Killed
58,8,0,20096,628,2,128,86400,Killed
59,8,0,20096,628,1,128,86400,Killed
60,2,24,0,24,20171,60240,72000,Pass
61,2,24,0,24,1,60301,72000,Pass
62,2,24,0,24,3,61198,72000,Pass
63,2,24,0,24,1,60068,72000,Pass
64,2,24,0,24,1,60552,72000,Pass
65,2,24,0,24,1,60500,72000,Pass
66,2,24,0,24,3,60653,72000,Pass
67,2,24,0,24,1,60195,72000,Pass
68,2,24,0,24,1,60306,72000,Pass
69,2,24,0,24,1,60013,72000,Pass
