u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
0,1,1,1,1,0,84,0,Pass
1,1,1,1,1,94,87,0,Pass
2,1,1,1,1,151,83,0,Pass
3,2,1,1,1,107,30,0,Failed
4,3,8,40,1,28,656,0,Pass
5,4,0,1,1,83,2,0,Failed
6,4,0,1,1,18,42,0,Pass
7,5,1,1,1,10,2115,0,Killed
8,1,1,1,1,24,84,0,Pass
9,2,1,1,1,25,25,0,Failed
10,4,0,1,1,4,26,0,Failed
11,4,0,1,1,95,36,0,Failed
12,4,0,1,1,72,33,0,Pass
13,1,1,1,1,50,82,0,Pass
14,5,1,1,1,106,8,0,Killed
15,5,1,1,1,36,139,0,Killed
16,1,1,1,1,43,84,0,Pass
17,1,1,1,1,99,83,0,Pass
18,2,1,1,1,74,29,0,Failed
19,3,8,40,1,8,577,0,Pass
20,1,1,1,1,69,86,0,Pass
21,2,1,1,1,204,27,0,Failed
22,5,1,1,1,76,261174,0,Failed
23,5,1,1,1,95,230653,0,Failed
24,1,1,1,1,197,82,0,Pass
25,2,1,1,1,18,30,0,Failed
26,1,1,1,1,163,83,0,Pass
27,2,1,1,1,13,32,0,Failed
28,1,1,1,1,107,83,0,Pass
29,1,1,1,1,257,84,0,Pass
30,1,4,20,1,22,1,0,Failed
31,1,4,20,1,27,56532,0,Killed
32,1,1,1,1,43,85,0,Pass
33,1,1,1,1,99,87,0,Pass
34,5,1,1,1,128,1,0,Failed
35,5,1,1,1,25,2645,0,Pass
36,1,1,1,1,97,87,0,Pass
37,3,8,40,1,98,275,0,Pass
38,1,1,1,1,3,83,0,Pass
40,4,1,1,1,160,3669,0,Pass
39,4,1,1,1,0,3807,0,Pass
41,1,1,1,1,86,83,0,Pass
42,1,1,1,1,95,100,0,Killed
43,3,8,40,1,59,592,0,Pass
44,6,1,1,1,643,40,0,Killed
45,6,1,1,1,41,12376,0,Failed
46,3,8,40,1,15,616,0,Pass
47,7,8,1,1,84,1153,0,Pass
48,4,1,1,1,120,4723,0,Pass
49,6,1,1,1,160,11251,0,Failed
