u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
0,1,1,0,1,0,1389243,0,Killed
1,2,8,0,4,395146,14405,0,Failed
2,3,1,0,1,257893,66336,0,Killed
3,3,1,0,1,0,1042044,0,Killed
4,3,1,0,1,0,2504635,0,Killed
5,2,8,0,1,195071,100547,0,Failed
7,1,1,0,1,7949,816099,0,Failed
8,1,1,0,1,0,120018,0,Failed
6,1,1,0,1,0,478477,0,Failed
9,1,1,0,1,63543,1064989,0,Killed
10,1,1,0,1,0,1756967,0,Killed
11,1,1,0,1,1,2258193,0,Killed
12,1,1,0,1,0,1621639,0,Killed
13,1,1,0,1,2,1100860,0,Killed
14,1,1,0,1,0,2776726,0,Killed
15,1,1,0,1,22619,2258193,0,Killed
16,1,1,0,1,0,2052094,0,Killed
17,1,1,0,1,885,4310294,0,Killed
18,1,1,0,1,1806,1042103,0,Killed
19,1,1,0,1,0,47566,0,Killed
20,1,1,0,1,0,3210073,0,Killed
21,4,1,0,1,46122,1102585,0,Killed
22,4,1,0,1,0,2790,0,Killed
23,4,1,0,1,0,1762900,0,Killed
24,5,8,0,1,201694,4193272,0,Killed
25,5,8,0,1,0,278744,0,Killed
27,1,1,0,1,190752,931967,0,Failed
26,1,1,0,1,0,780247,0,Failed
28,6,4,0,1,56364,4399254,0,Killed
29,7,1,0,1,78404,2323172,0,Killed
30,5,8,0,1,197456,2317586,0,Killed
31,5,8,0,1,0,2155347,0,Killed
32,8,1,0,1,167359,4842984,0,Killed
37,9,1,0,1,13793,693037,0,Failed
35,9,1,0,1,0,123275,0,Failed
36,9,1,0,1,0,2242022,0,Failed
34,9,1,0,1,0,7035,0,Failed
33,9,1,0,1,0,980523,0,Failed
38,6,1,0,1,35671,4892537,0,Killed
39,4,1,0,1,4190,2868297,0,Killed
40,4,1,0,1,20855,7254,0,Killed
41,4,1,0,1,4,1105388,0,Killed
42,4,1,0,1,0,14865,0,Killed
43,4,1,0,1,0,1632805,0,Killed
45,4,1,0,1,12,194956,0,Killed
44,4,1,0,1,0,2019,0,Killed
46,3,1,0,1,57640,4494242,0,Failed
47,3,1,0,1,0,21638,0,Failed
48,3,1,0,1,0,49896,0,Failed
49,3,1,0,1,0,496,0,Failed
50,3,1,0,1,0,268,0,Failed
51,6,4,0,1,90645,54209,0,Killed
52,6,2,0,1,17,5065230,0,Killed
54,3,1,0,1,9934,360506,0,Failed
53,3,1,0,1,0,364243,0,Failed
55,10,4,0,1,24492,5099276,0,Killed
56,10,4,0,1,7565,1091208,0,Killed
57,10,4,0,1,0,578,0,Killed
58,10,4,0,1,0,3616420,0,Killed
59,6,2,0,1,42327,2765813,0,Killed
60,6,2,0,1,0,2384333,0,Killed
61,6,4,0,1,71,5150116,0,Killed
62,11,1,0,1,22705,5163642,0,Killed
63,4,1,0,1,23165,1108236,0,Killed
64,4,1,0,1,0,1632348,0,Killed
65,4,1,0,1,222,1108249,0,Killed
66,4,1,0,1,0,1632507,0,Killed
67,4,1,0,1,11,1107423,0,Killed
68,4,1,0,1,0,1633684,0,Killed
69,4,1,0,1,38,1107622,0,Killed
70,4,1,0,1,0,1633219,0,Killed
74,12,8,0,1,184437,2238233,0,Pass
73,12,8,0,1,0,855,0,Pass
72,12,8,0,1,0,395,0,Pass
71,12,8,0,1,0,711,0,Pass
75,13,8,0,1,71362,3680668,0,Killed
76,11,1,0,1,57623,772731,0,Failed
77,11,1,0,1,0,3185,0,Failed
78,11,1,0,1,0,443456,0,Failed
79,11,1,0,1,0,3727052,0,Failed
80,13,8,0,1,66215,450,0,Pass
81,13,8,0,1,0,1195666,0,Pass
82,13,8,0,1,0,1061373,0,Pass
86,13,8,0,1,8429,1912749,0,Failed
85,13,8,0,1,0,519,0,Failed
83,13,8,0,1,0,375,0,Failed
84,13,8,0,1,0,50768,0,Failed
87,4,1,0,1,6295,694813,0,Killed
88,4,1,0,1,0,1651722,0,Killed
89,14,8,0,1,2744,2119015,0,Killed
94,1,1,0,1,23028,2230408,0,Pass
95,1,1,0,1,0,338628,0,Pass
93,1,1,0,1,0,18423,0,Pass
90,1,1,0,1,0,661936,0,Pass
91,1,1,0,1,0,3465,0,Pass
92,1,1,0,1,0,3185,0,Pass
96,1,1,0,1,21533,12712,0,Pass
97,1,1,0,1,0,2286278,0,Pass
98,1,1,0,1,0,344048,0,Pass
99,1,1,0,1,1023,610500,0,Pass
100,1,1,0,1,0,37756,0,Pass
101,1,1,0,1,0,2241863,0,Pass
102,1,1,0,1,0,329707,0,Pass
