Job_Number,Interval,Run_Time,Number_of_Allocated_Processors
0,312.5870870513853,82,1
1,69.2113922782915,37,1
2,583.2431812955052,66,3
3,126.28080207570261,-1,3
4,131.76076065911224,34,2
5,110.90168951659787,27,4
6,34.32648518433918,10846,64
7,89.26798441090432,-1,2
8,21.801376166930826,69,17
9,2.18186223827378,-1,1
10,81.6509699242012,-1,4
11,3472.840045196214,111,32
12,311.73090993470754,43,4
13,23.833434678397648,86,33
14,21.972534984514823,44,16
15,124.19015283736037,66,1
16,443.0878969359508,69,3
17,404.5560145108681,67,16
18,20.913794926787933,4263,127
19,229.73240050399218,-1,4
20,48.4663472213768,81,33
21,18.04305434680417,27,9
22,346.9274295165626,-1,1
23,22.57740806960625,-1,1
24,33.681988115243556,-1,4
25,1529.4102367599394,54,8
26,950.8038180094613,13,19
27,15.358858617809393,869,4
28,11.228708949923258,89,2
29,1153.6312936987656,82,1
30,29.575334725410396,54,10
31,78.65095066263737,415,1
32,13.180026447887471,14135,65
33,200.52006806644204,-1,3
34,22.71916164273106,42941,32
35,150.02934696437262,24,1
36,13.752245495890067,54,31
37,43.882255121815305,-1,1
38,85.5090055502103,3284,16
39,34.06487324971043,486,16
40,148.4361158599297,-1,7
41,26.388470128032544,46113,65
42,871.8405075416937,25,1
43,96.24601943056146,4134,16
44,1394.9843486591126,2771,16
45,6.114624316920315,-1,9
46,30.21707513142271,9,1
47,324.86450548643177,57,32
48,303.3631481530263,3,1
49,396.5444438972292,68,32
50,117.19198690039991,31,3
51,13.971795017375666,42963,63
52,349.05981213784867,20,3
53,7.975208271365988,11071,32
54,70.20588271346078,14,4
55,72.00016991441626,47,1
56,23.323696206679582,14871,32
57,88.06727410733413,63,9
58,0.0,-1,1
59,48.335217725001,66,2
60,177.81530749477298,8,2
61,30.211282766814158,278,1
62,1511.9944854287714,-1,16
63,20.306212964453962,-1,2
64,16.284755169709765,1605,16
65,179.36723158787336,-1,15
66,128.54664988773678,62,1
67,169.05167462749233,40,1
68,5251.271587524529,13,2
69,45.193975918366824,63,2
70,555.2069454288412,24,8
71,345.19473727333445,31660,63
72,66.28382341055419,-1,2
73,13.922740118177815,386,1
74,211.89542415105674,58,63
75,93.48439579076545,58,1
76,54.23516016059466,-1,1
77,5.4831869872782395,400,1
78,42.819251835181205,-1,2
79,30.156799018807114,2077,131
80,64.1200438007897,109,8
81,288.25635036376,65,1
82,33.33835057312327,2519,16
83,0.0,-1,1
84,0.0,54,1
85,352.49674332436143,-1,4
86,352.8121392173366,36,4
87,77.13194366537468,330,1
88,147.96016840568868,-1,4
89,6.91678528380373,674,1
90,83.80515840534935,45,4
91,107.03345763761146,31,1
92,28.765629767073833,0,10
93,37.14491457498208,31,128
94,17.970375594422926,35003,8
95,950.9791997745288,32091,64
96,48.23643074860193,-1,8
97,218.03851138213412,39,4
98,164.74803257112745,50,3
99,9468.333437896048,35,24
100,143.77458606912822,65,1
101,43.43084327941173,330,16
102,10.993321045059844,-1,1
103,0.0,22,3
104,185.4579932928633,87,4
105,1331.5906878086012,18,16
106,28.263783742668007,-1,2
107,350.35343295015343,-1,5
108,816.9292998892973,56,8
109,7.4457786681052465,1277,33
110,43.3877219966759,43855,8
111,203.15536866456287,16,3
112,1257.8700663282748,101,32
113,289.55869648199445,10,4
114,5580.460118114943,32,16
115,95.14623042450039,125,16
116,102.06276754713531,3,4
117,21.017716791050237,45,16
118,18.764694357070656,26499,10
119,472.22622707536004,58,1
120,1401.8097289916057,110,9
121,195.83613222392984,30,8
122,48.331721741627796,379,1
123,110.31282051643586,81,3
124,539.7741170902016,-1,4
125,28.191029171277187,109,64
126,6498.354775745009,34,16
127,223.13051422940552,100,8
128,44.23230214149412,12359,65
129,28.41216414095625,-1,2
130,135.04935213409595,55,4
131,114.83921968690791,442,2
132,34.98633906332497,92,8
133,35.43264922113877,69,8
134,255.06226686948548,80,32
135,24.499599970622636,39,8
136,54.845855322736554,20,1
137,144.48951029802873,73,15
138,33.24525002244266,4,33
139,0.0,42743,65
140,31.83647750236321,79,9
141,132.3493865809013,-1,3
142,558.5551733916396,-1,3
143,651.7725037618302,76,16
144,40.26187664206918,29,26
145,124.73061745950608,57,8
146,114.5111649332437,-1,1
147,100.10528441845673,95,1
148,1163.2589123487567,26,1
149,4168.676446106511,5,1
150,147.51314634649424,57,3
151,1409.5239123884498,12684,1
152,22.744606450415066,339,1
153,449.81540588367716,107,4
154,156.63297750695273,-1,11
155,0.0,-1,2
156,14.987144498564284,38,33
157,468.3097410263185,121,1
158,13.159386540108486,331,1
159,986.7524847787274,4406,16
160,61.933629517431996,87,8
161,179.5842772915509,18,1
162,44.14976615450907,-1,4
163,315.2026386815542,-1,32
164,43.5771199598383,15431,16
165,223.89063240897997,96,3
166,139.97243052885534,103,16
167,14.216234465642973,41,4
168,45.856609135292814,65,10
169,299.34052064006454,398,1
170,2097.362402855279,44910,66
171,179.24468655985385,-1,2
172,43.31657052996023,-1,2
173,38.891480241035794,52,4
174,60.971390426315004,78,64
175,204.21486678599848,25,3
176,275.82797575988525,868,1
177,57.12195752554676,413,1
178,23.57865736010502,93,16
179,31.569105675656203,-1,2
180,370.2328813591247,27,4
181,23.639692182124698,42657,16
182,457.71956079471374,101,1
183,250.07265365856097,-1,33
184,135.87623397743852,50,8
185,149.3897039350096,138,1
186,116.65901847533888,60,1
187,135.5570469277133,50,2
188,0.0,-1,5
189,76.19710335905927,47,16
190,23.5234676124848,339,1
191,5.650164334553104,41,9
192,17.89994570656897,248,1
193,28.839042821369766,9,9
194,100.59641635466184,2929,16
195,50.589105002015366,1660,16
196,61.39142877087257,-1,3
197,174.5069658430965,70,8
198,0.0,-1,8
199,54.674532359723656,50,16
200,21.54410655835242,10,1
201,9.867588433472793,117,16
202,176.4273020451712,11,5
203,35.142539725073874,73,6
204,2231.145816671288,-1,4
205,26.35289439467471,10816,64
206,34.18129178099469,72,2
207,62.47504794279111,61,16
208,31.535291436000378,74,65
209,112.67222488711118,15370,21
210,30.563711334287014,33558,9
211,33.33603030370683,2667,32
212,40.029590046282536,2415,16
213,178.11007645296365,35,16
214,50.8668951911943,106,3
215,127.62054084481767,113,1
216,890.4853751272587,51,8
217,168.96960913358015,70,1
218,409.2504581859803,59,8
219,100.92468019298016,51,4
220,2916.3370872002174,1932,7
221,16.743926516504672,39,17
222,3352.6396284347347,83,1
223,12.187651684526253,-1,1
224,180.1064543407215,39,4
225,77.08512732954486,18,3
226,432.56547827371475,37,3
227,2369.9389498015007,106,32
228,30.16011843736349,484,1
229,30.697111246483914,28,32
230,1166.7342096601826,-1,32
231,124.99424433698594,44793,63
232,201.63234797127672,-1,9
233,71.81397374340415,118,1
234,0.0,0,16
235,7.79140741289706,-1,33
236,10832.89128837508,42925,65
237,18.78217713013226,2458,9
238,43.98111687860738,47,9
239,24.528046639846874,-1,2
240,35.93507375497384,12,1
241,38.749991582995,25596,7
242,42.71320700619391,296,1
243,2682.2185387224526,35,15
244,483.5890236037652,-1,4
245,1.5387590992064695,-1,3
246,849.9712586675314,-1,1
247,30.54092512536699,6,2
248,149.04247812093146,60,4
249,357.28315364901323,65,8
250,779.4364327728597,-1,4
251,51.88276425642188,34,9
252,457.6826689665683,36,33
253,34.75343033621314,451,2
254,0.012543208705221076,27,27
255,108.52367987137667,40,1
256,93.98044703718486,45,3
257,17.24620200886202,8,2
258,237.69520530505417,14,1
259,0.0,-1,4
260,67.52798987909328,30591,8
261,555.2210003027187,56,4
262,28.499235003142168,-1,4
263,200.6526528831988,109,4
264,49.911494934156025,-1,13
265,179.74640404696692,-1,4
266,62.15276141097703,71,1
267,14.920482451970624,1955,16
268,88.94057553789776,133,16
269,895.9527833088697,21,17
270,1166.6574418858672,17,9
271,307.826470241426,73,1
272,2844.0444466072795,-1,1
273,52.85868496717586,34,4
274,32.30618381244001,2785,16
275,39.6565676713098,670,1
276,524.6821737820101,-1,1
277,1706.2390393048029,436,2
278,18.56301423366469,13,1
279,376.6430786920216,44,3
280,420.343652865006,51,1
281,150.48128415647602,54,1
282,197.87349034715976,-1,1
283,134.69917585149093,64,2
284,2096.4058003348914,-1,21
285,199.53846357904354,109,8
286,42.630880025189555,9133,7
287,7.0187909329519265,11371,2
288,36.54219914795519,-1,1
289,337.52734621216445,-1,4
290,149.76861189503066,76,8
291,17.469819791450664,59,64
292,38.226708037491605,7323,16
293,13.986575569777363,23,2
294,174.65481552833094,566,1
295,22.660600415898912,2091,33
296,377.3240846050703,10108,1
297,92.52768774423195,81,8
298,34.13308750876733,24,2
299,4515.897179507483,71,32
300,17.480810691644106,2428,16
301,28.083073287801867,33232,9
302,81.85097592706826,-1,2
303,27.628163904100234,2772,131
304,20.952575798422725,-1,10
305,5.845703390332375,9,1
306,126.20717002729808,26,16
307,2906.5381148198007,568,9
308,33.42401255193255,-1,19
309,1.616256513162277,39,2
310,7.815241585935789,49,16
311,109.97992049367095,60,3
312,59.53086248003727,81,1
313,14.844271883944526,4058,130
314,366.4742219895882,-1,1
315,114.66614369435928,76,1
316,148.13999797226592,-1,3
317,3.1019227355539734,-1,17
318,389.97532892705135,-1,2
319,42.35844674452235,29144,10
320,496.97189864342175,47,3
321,52.091154362175615,3349,16
322,0.0,2,4
323,222.04618724306766,135,2
324,139.17840245058665,78,8
325,19.502021473740456,11,3
326,2062.609956454864,6345,20
327,9.295654485718545,381,1
328,1413.6463414202967,46,7
329,21.93636775902061,-1,33
330,103.6311408748069,-1,1
331,459.8163554567574,92,32
332,9066.8697936657,776,16
333,2.6621254978031743,-1,3
334,149.2355531304977,1,3
335,19.790209168106973,64,5
336,10.527106839306612,250,1
337,128.25726415340202,2529,16
338,98.15590017687087,7,4
