Job_Number,Interval,Run_Time,Number_of_Allocated_Processors
0,494.35513741665886,7703,7
1,30.289482977154385,36,56
2,321.31269247731063,30,13
3,354.20439603370767,-1,61
4,320.42703625758946,903,56
5,5.597029892744748,372,16
6,74.97211764016429,248,48
7,1557.3373683559846,148,2
8,1786.736868817604,9336,126
9,3.29510302562968,424,2
10,3.973376590427659,59,2
11,70.25329047690332,953,140
12,1.2625118710464007,354,7
13,7.725229903357358,10876,5
14,873.1011855401422,52,1
15,11.14534903767828,611,39
16,24.735287087618666,86,6
17,31.501085419645246,1181,25
18,107.16182721533849,-1,5
19,2143.0478280086945,37,14
20,1277.4953399257083,15,1
21,1557.6657245570514,18556,6
22,31.449875846958275,16,19
23,422.62262792524336,543,1
24,216.50634972379785,-1,8
25,4.516603703893489,9973,131
26,143.92249120284276,9008,2
27,1.0091573873274204,512,14
28,15.258755644029716,-1,2
29,46.87695469457294,8038,43
30,293.09870163268647,78,3
31,276.28708707812706,2,161
32,99.75201371669675,5,39
33,1249.175927741302,11,3
34,1.6171424803834407,-1,2
35,2.9611975564725497,0,5
36,3445.120060172143,-1,21
37,1.2270303214983034,0,35
38,686.1049812254961,168,15
39,37.74913737486439,7,1
40,22.8781599243371,1036,79
41,2402.4945256402816,-1,11
42,6.722374753720349,2233,34
43,1.000112591451685,-1,3
44,100.8544653280526,-1,2
45,177.0665253926213,-1,2
46,143.02795278096292,12302,8
47,223.92143614371412,23580,40
48,12.041226599448702,9839,2
49,5.041124103224289,30,3
50,25.115274569242334,13670,21
51,327.16447330370966,-1,1
52,158.67594110647,-1,70
53,1.0071391515994867,645,26
54,3.620587888067114,133,2
55,4.008578028891324,-1,26
56,328.7107680868027,617,5
57,683.9517981772541,15753,82
58,1.0167786429109062,-1,9
59,628.8753279357832,103,8
60,805.575068966153,51350,40
61,150.58558551350578,232,2
62,55.683856664609266,5054,5
63,1.681415252382572,4081,8
64,1.3402379829358202,-1,8
65,86.2138355840149,8257,4
66,1.0000036011499718,383,1
67,9.327092831551122,530,2
68,620.0795990212134,9447,19
69,879.0118165981715,10722,6
70,64.13522958864301,-1,4
71,1008.5286145196243,2,74
72,556.3412587815598,168,28
73,194.23186027203977,7300,8
74,326.8944438247241,6490,21
75,766.1696934533574,252,1
76,8.674829306662113,923,4
77,125.57351970222751,149,70
78,1.0000021378938886,0,70
79,57.016793897368444,3039,1
80,357.4887620193573,5,11
81,84.14725111932492,14,93
82,1.0835595798423205,232,118
83,1.4950821825267293,-1,2
84,234.01524581939557,2541,24
85,48.234660958863664,-1,2
86,1054.2015549363482,2285,2
87,753.9404744920611,1971,76
88,216.54354266506303,11319,20
89,1.0000212035855376,408,22
90,1.0020377480532132,11,19
91,16.712065595994112,351,125
92,247.74749238836966,777,16
93,35.81683596730942,2105,1
94,287.64726656565176,1503,2
95,157.95275412680184,8121,2
96,181.92033781020754,12436,5
97,1.695034869503313,675,10
98,111.8807331024853,145,28
99,337.08059556711663,2661,3
100,402.3814053176658,225,87
101,355.4972882836788,4,87
102,41.418515441820986,262,14
103,21.58863336042668,477,11
104,8.798292307444603,324,17
105,115.78080358120184,16116,5
106,98.17766927996166,-1,3
107,1.8793024135510725,1453,8
108,1.0000030498933274,155,2
109,1887.5215274314628,176,2
110,304.11559311925555,697,14
111,3.066745361303963,37,1
112,146.55497669722087,8,1
113,1.8996676378541715,44,6
114,532.880910384557,63,6
