Job_Number,Interval,Run_Time,Number_of_Allocated_Processors
0,33.26387408927962,788,1
1,69.51636756506424,8,2
2,41.77473153698722,26,28
3,17.521401602180475,130,24
4,21.24022814445648,580,3
5,24.747203870713804,9,32
6,2050.172129785443,221,3
7,20.860725786077055,31,2
8,57.76832539714901,104,4
9,1030.2361677399208,656,16
10,9.346049242185103,25141,8
11,1.4242820609452735,73,1
12,38.10288310982835,250,32
13,5.470296939507135,50,8
14,7.051599255674462,22,11
15,126.79772053359619,3630,2
16,24.605607943906026,-1,1
17,220.3319131915611,36,16
18,9.228016396109622,245,1
19,340.01910033228023,3154,16
20,20.23973670954004,44,8
21,1436.380108822898,1960,16
22,2721.967302510654,554,16
23,274.8454044834061,166,1
24,744.6115871480463,595,1
25,120.19732790653748,8,3
26,663.0217532605304,65,1
27,22.944841048965877,32,4
28,2.065193907206222,11,3
29,1984.806077502374,118,4
30,591.1113624258171,10,8
31,11.57545404433261,7,17
32,66.09835059118996,12,9
33,14.402536687565679,560,64
34,1061.7210017558282,11336,32
35,1756.2615421761702,11817,14
36,15.12146751103538,49,4
37,75.44895587268151,93,3
38,114.64414544476348,10,1
39,2702.492508428156,17,1
40,483.11231597800577,87,32
41,24.95923372797283,60,64
42,1.9715969018992716,2,8
43,16.797058138519077,407,1
44,1010.7787092307074,845,3
45,69.9608555931294,2738,16
46,182.01275115709723,40,32
47,7.330867928715433,293,2
48,439.1167899511824,151,2
49,0.0,27,32
50,11.279024043938772,45,21
51,30.292848880184245,90,1
52,991.8338598348399,3,2
53,21.91100347681194,59,3
54,70.59414120689561,472,2
55,52.3624707764035,347,32
56,617.4603253425423,1240,3
57,229.88530472496313,920,2
58,1878.4960721936925,46,3
59,17.520511042636286,40,23
60,37.666686978659904,21,4
61,1834.7509067942578,29,2
62,28.210357000366376,8,2
63,332.586139339815,497,64
64,4.976056386282984,19,4
65,27.904263232662835,53,16
66,20.90227598842856,-1,1
67,310.50704621322757,10889,32
68,161.78101497445698,80,16
69,99.47479977942736,22,4
70,67.82101933767069,101,1
71,279.85182410563783,32,8
72,928.2554333150761,615,16
73,4.961014647878258,-1,8
74,141.08514251438623,20,1
75,0.0,2,9
76,3199.3528545396957,624,1
77,20.459447197787476,97,9
78,23.968404838523025,746,32
79,320.2432525298252,15187,11
80,14.96746156047144,626,2
81,4.274765254616664,32,4
82,27.101871022447725,6,3
83,0.0,179,4
84,2377.0306467914666,4,4
85,25.042912403264523,944,11
86,506.23905219387126,5,16
87,206.76701604075055,163,16
88,13.566942249907546,6,4
89,228.37597639308495,7,8
90,31.934979883275894,16879,8
91,161.91070823653524,17,1
92,312.8467209713956,13,5
93,2.5988253927541933,5,2
94,561.6730176961946,3453,32
95,1.8449914239156122,3616,128
96,22.91498617497416,18,4
97,96.01172480897256,184,4
98,42.13279798871929,1075,2
99,232.3552785016019,5819,1
100,65.52776022005798,48,2
101,30.62810229271917,118,1
102,66.03357379358107,58,4
103,479.78051315526477,7925,64
104,100.68522667352228,181,4
105,16.573112532423774,35,1
106,17.458721389265705,41,4
107,89.7029320640182,207,2
108,2313.873004180953,98,8
109,12.040269827987204,2,4
110,466.2982859586255,41,2
111,131.09808549518252,53,32
112,31.77740548058828,41,2
113,460.5239605491135,126,4
114,315.98240881610457,68,14
115,30.82411657048364,119,24
116,13.24630041023538,18,1
117,758.5794609715941,34,1
118,84.60977235152532,69,8
119,18.113715806100558,18332,8
120,514.1149295297371,379,1
121,289.8921507453375,30593,16
122,30.379724728183575,16,8
123,59.86786877949175,38,32
124,4.075828305491289,3,4
125,1177.3529662899941,11787,16
126,17.86195462687597,152,8
127,178.7447962856994,644,4
128,566.8590434998392,27,5
129,45.342554611373444,5,2
130,23.119173199201136,78,4
131,434.28921238372806,38,1
132,92.13830683932801,43439,32
133,41.80721254999536,-1,4
134,14.996262387097921,2001,16
135,1964.2206239564705,6,1
136,1143.5833530929094,1611,16
137,36.623373791790144,208,1
138,953.2455399966093,62,4
139,16.889099635350664,229,1
140,145.99102301424787,361,32
141,13.169952084980821,57,8
142,269.1789836644584,3910,1
143,6.661569287691902,569,1
144,268.9969832078452,32,4
145,5.502331442308801,2990,16
146,233.13714023037386,45,2
147,2111.5583645511597,867,64
148,83.0484998619101,-1,23
149,27.404477056950213,4092,16
150,207.11010646507972,222,64
151,342.4350942789342,10,3
152,136.4498118826295,43,9
153,33.46984272527652,12,9
154,166.41882096068,4,8
155,10.690425042854502,27,4
156,37.17643100133702,64,4
157,12.825128079435782,218,8
158,39.54362299205417,-1,31
159,11.33494277908787,9,1
160,16.384556882568347,2773,8
161,284.7141488529402,392,4
162,20.909196278560156,1,2
163,0.8438549589116313,32361,2
164,7.739325628022005,10,8
165,21.39421610698259,-1,5
166,95.96995460664853,13,3
167,393.4418105512799,96,8
168,31.41818698516563,-1,4
169,98.53147847322833,5,16
170,12.06791671997523,205,16
171,19.115365485546334,428,16
172,33.505885768913004,26,8
173,1.033905620266932,57,9
174,180.66495489634406,34,11
175,20.440675553980828,-1,4
176,167.8383148616203,22,1
177,7.469018270027137,17,15
178,572.3047990218713,19,8
179,23.78953774278387,7,8
180,2.4627921283824605,34,3
181,90.41233549166483,35,10
182,331.21887628562763,1174,24
183,144.17012198024005,-1,4
184,81.45054542146694,13,16
185,6.005099563143958,4,1
186,21.540151740926355,162,4
187,19.160342403038623,433,16
188,187.3882957343755,2410,2
189,483.41749378272533,3,9
190,26.52669028320144,198,16
191,1730.313577629524,41,4
192,2227.58891581065,14,16
193,20.456787111203912,45,2
194,1.335915573636047,228,32
195,1373.6804652817796,34720,8
196,107.28567270785668,112,4
197,61.12651004961368,105,3
198,64.33797922638537,67,32
199,2.0968205149176455,49,6
200,414.3060908217524,3674,64
201,370.09728874479686,49,1
202,18.365946859239187,13,32
203,196.2128309614379,2,2
204,1407.8203463733194,22,64
205,1851.4061091681683,37,8
206,150.03796708877906,3367,16
207,44.280542236510016,201,16
208,1477.8674565682443,452,4
209,1589.759131930002,133,16
210,180.82018703751578,8,8
211,22.350717682086696,555,1
212,147.811709737161,133,1
213,58.78846831099697,38,8
214,51.27779236612311,87,8
215,26.811715781815828,184,1
216,168.53242123418784,622,1
217,30.283498076920566,612,64
218,327.46796616841556,351,8
219,76.4736224856116,70,32
220,153.5882945982803,12,4
221,1854.3924579661625,38,8
222,355.6575570545118,58,1
223,23.007045188600785,112,4
224,517.7704460386176,197,5
225,1343.5336118662794,196,3
226,50.528169924200725,90,4
227,1646.8127262144453,8367,17
228,512.2672629225726,11,16
229,614.7643825390437,391,1
230,5.299005450709759,15717,27
231,337.9709149136684,7,32
232,16.158978023692413,102,2
233,17.765018408315804,10,4
234,1523.2038687357726,240,32
235,55.223413165560714,8,16
236,17.681278657204594,207,1
237,60.745303008106305,247,1
238,297.0066232655132,31,1
239,23.540226648784454,24,32
240,32.91604472423844,82,1
241,139.24618102177948,638,1
242,2640.7371970329295,2812,32
243,148.85386302130547,2271,1
244,508.89282892497897,3052,1
245,165.73634508790386,48,21
246,49.78391200651535,2,10
247,130.15071749594068,85,10
248,14.843100201762399,126,32
249,32.314906745226395,1054,64
250,5.290938198651901,22,1
251,388.91014091246905,19,16
252,6.314780484367903,14,10
253,66.81622214927268,13413,16
254,1371.5060961588097,1652,32
255,254.19209996166148,39,3
256,2178.391803423696,7025,8
257,263.8496379026596,87,32
258,932.2485757262255,79,32
259,41.43531359438259,13,16
260,19.566731206806963,838,1
261,40.37801395953538,66,4
262,300.12183096508386,10,9
263,2283.634324950881,-1,1
264,2830.063176645438,62,2
265,15.437070382751237,1,4
266,551.1256621307589,58,13
267,1287.3745838794785,1716,16
268,1009.3650271301638,1549,3
269,0.0,6,3
270,151.95241935159825,168,4
271,54.457835671887665,0,4
272,34.96746979699323,9,10
273,98.27389825208128,7352,10
274,2170.1928237360116,6755,128
275,245.85922338210867,18021,8
276,2155.353863696725,28,2
277,5.3974485795368,11,16
278,16.207093472036185,8,8
279,29.088349380301818,4,9
280,20.743315302381884,11275,8
281,17.950341632577288,5,2
282,204.5395209846585,485,2
283,49.79755799784438,104,4
284,271.6280195936441,13,16
285,1909.3391900978652,64,64
286,1563.3714572050694,140,1
287,23.59168018232127,47,64
288,1903.6777866582652,115,3
289,248.59920675490105,203,8
290,27.31536330206087,39,18
291,116.3126387085213,34,8
292,38.352259350722846,524,3
293,242.93080413667337,11,1
294,622.8097797239602,18,2
295,466.58480058721784,152,3
296,79.95745719451209,11883,8
297,38.867565094483396,100,13
298,1261.3470383465888,15,4
299,267.3420255785469,31450,32
300,27.138358302197847,33,6
301,476.330844986264,20,1
