Job_Number,Interval,Run_Time,Number_of_Allocated_Processors
1,0.0,37349,128
2,4751.0,43349,128
3,87018.0,22,128
4,46889.0,4138,8
5,24.0,58,4
6,1594.0,681,1
7,1612.0,94,256
8,14.0,60,256
9,16.0,74,256
10,16.0,90,256
11,1293.0,86,256
12,3310.0,255,256
13,1682.0,12717,64
14,15968.0,25646,8
15,12576.0,29196,16
16,19844.0,6181,11
17,13927.0,29092,11
18,71.0,29103,11
19,47.0,29165,11
20,31.0,29213,11
21,29.0,29253,11
22,19.0,29283,11
23,14354.0,67,4
24,630.0,1196,1
25,10173.0,97,1
26,98.0,373,1
27,374.0,82,1
28,82.0,26,1
29,27.0,1,1
30,2.0,2,1
31,3.0,2,1
32,2301.0,31,1
33,79.0,89,1
34,80.0,31,1
35,81.0,1395,1
36,80.0,1402,1
37,80.0,61,1
38,83.0,302,1
39,81.0,461,1
40,84.0,50,1
41,80.0,50,1
42,81.0,132,1
43,79.0,407,1
44,81.0,81,1
45,81.0,455,1
46,82.0,664,1
47,1768.0,401,1
48,10478.0,18163,64
49,1556.0,31414,16
50,88.0,25111,8
51,57.0,32930,8
52,727.0,25731,8
53,12124.0,29306,16
54,3611.0,19741,64
55,5033.0,17210,32
56,3558.0,25688,8
57,1413.0,25498,8
58,4798.0,31484,16
59,1665.0,33188,8
60,3276.0,21375,64
61,2556.0,32112,16
62,4276.0,43347,11
63,41.0,43337,11
64,30.0,43347,11
65,46.0,43348,11
66,27.0,43344,11
67,7216.0,30,1
68,113.0,21,8
69,136.0,8,1
70,117.0,15,8
71,22.0,60,1
72,141.0,16,8
73,17.0,228,1
74,1019.0,25919,8
75,368.0,3,2
76,5259.0,22588,64
77,53.0,46,4
78,1135.0,2608,1
79,9657.0,74,1
80,75.0,334,1
81,335.0,76,1
82,76.0,25,1
83,26.0,1,1
84,2.0,1,1
85,2.0,2,1
86,2370.0,34,1
87,80.0,92,1
88,80.0,36,1
89,80.0,1258,1
90,80.0,178,1
91,80.0,48,1
92,82.0,282,1
93,79.0,6733,1
94,80.0,86,1
95,80.0,40,1
96,80.0,124,1
97,80.0,342,1
98,79.0,49,1
99,80.0,511,1
100,84.0,661,1
101,1769.0,313,1
102,3666.0,25786,8
103,2303.0,14258,64
104,4875.0,27839,16
105,749.0,2654,1
106,352.0,17438,32
107,6117.0,45,32
108,277.0,43353,128
109,224.0,9222,128
110,0.0,43349,128
111,87.0,480,32
112,56.0,477,32
113,76.0,2734,32
114,51.0,43364,32
115,124.0,43350,128
116,38.0,43354,128
117,117.0,9174,128
118,63.0,39776,32
119,56.0,28836,64
120,82.0,43357,128
121,94.0,19086,128
122,0.0,37488,128
123,189.0,60,64
124,637.0,10944,64
125,156.0,8341,1
126,6641.0,22,8
127,164.0,12,1
128,861.0,43350,11
129,41.0,43344,11
130,2.0,1,1
131,201.0,2,1
132,90.0,14,8
133,41.0,47,8
134,99.0,1,1
135,28.0,6160,8
136,904.0,25531,8
137,814.0,5,1
138,140.0,4,1
139,763.0,21182,64
140,1702.0,17630,32
141,1799.0,26472,128
142,1776.0,17,32
143,78.0,18336,32
144,5.0,40661,32
145,567.0,26,8
146,47.0,4,1
147,25.0,7,1
148,45.0,27,64
149,45.0,61,64
150,95.0,43,10
151,20.0,18344,32
152,113.0,48,40
153,122.0,64,64
154,149.0,681,64
155,362.0,7558,32
156,361.0,7,64
157,32.0,6,64
158,44.0,153,64
159,194.0,50,8
160,282.0,1175,64
161,365.0,29313,16
162,850.0,17,8
163,418.0,14,8
164,104.0,712,64
165,1042.0,7,8
166,127.0,16,8
167,129.0,18,8
168,61.0,84,64
169,98.0,329,64
170,346.0,1245,64
171,1269.0,5726,64
172,5852.0,1303,64
173,1334.0,31,8
174,69.0,15,8
175,29.0,99,64
176,114.0,217,64
177,1114.0,15243,64
178,26.0,24811,32
179,2611.0,25548,8
180,12.0,22188,8
181,4941.0,3,1
182,5.0,2,2
183,6.0,4,3
184,8.0,2,4
185,7.0,8,5
186,11.0,2,6
187,4.0,5,7
188,12.0,5,2
189,7.0,2,4
190,5.0,4,6
191,11.0,5,3
192,9.0,5,6
193,6.0,2,4
194,5.0,3,5
195,5.0,3,6
196,5.0,1,7
197,5.0,3,1
198,6.0,2,2
199,6.0,2,3
200,5.0,4,4
201,5.0,5,5
202,7.0,4,6
203,7.0,2,7
204,7.0,2,2
205,5.0,3,4
206,6.0,2,6
207,4.0,3,3
208,9.0,1,6
209,5.0,1,4
210,3.0,3,5
211,6.0,3,6
212,5.0,10,7
213,12.0,5,1
214,8.0,3,2
215,7.0,10,3
216,4.0,8,4
217,10.0,8,5
218,4.0,9,6
219,6.0,11,7
220,7.0,10,2
221,6.0,9,4
222,7.0,30,6
223,4.0,5,3
224,3.0,8,6
225,6.0,8,4
226,5.0,10,5
227,6.0,11,6
228,8.0,6,7
229,343.0,50104,32
230,6.0,16598,32
231,884.0,9,5
232,68.0,15646,5
233,115.0,15531,32
234,50.0,15481,128
235,1873.0,2,1
236,4.0,2,2
237,5.0,6,3
238,2.0,8,4
239,6.0,8,5
240,5.0,6,6
241,80.0,2,1
242,3.0,2,2
243,21.0,2,3
244,17.0,13465,4
245,1245.0,2,1
246,4.0,3,2
247,4.0,17,3
248,4.0,6,4
249,3.0,8,5
250,6.0,6,6
251,55.0,2,1
252,6.0,3,2
253,7.0,3,3
254,7.0,3,4
255,7.0,1,5
256,3.0,4,6
257,6.0,3,7
258,6.0,3,2
259,5.0,3,4
260,9.0,5,6
261,8.0,1,3
262,6.0,3,6
263,20.0,3,4
264,5.0,2,5
265,4.0,3,6
266,6.0,2,7
267,4.0,1,1
268,5.0,2,2
269,5.0,15,3
270,2.0,5,4
271,2.0,8,5
272,5.0,11,6
273,9.0,5,7
274,7.0,2,2
275,5.0,5,4
276,2.0,9,6
277,6.0,6,3
278,5.0,12,6
279,3.0,4,4
280,6.0,6,5
281,8.0,2,6
282,5.0,3,7
283,7.0,2,1
284,4.0,13,2
285,2.0,9,3
286,3.0,13,4
287,11.0,43,5
288,4.0,9,6
289,6.0,18,7
290,6.0,11,2
291,6.0,18,4
292,17.0,12,6
293,14.0,2,3
294,4.0,2,6
295,4.0,2,4
296,4.0,5,5
297,2.0,9,6
298,6.0,5,7
299,297.0,2,1
300,3.0,5,2
301,3.0,7,3
302,5.0,6,4
303,4.0,5,5
304,7.0,12,6
305,2.0,6,7
306,4.0,10,2
307,8.0,9,4
308,6.0,5,6
309,167.0,2,1
310,4.0,5,2
311,3.0,8,3
312,5.0,5,4
313,7.0,32,5
314,2.0,26,6
315,3.0,15,7
316,3.0,4,2
317,2.0,7,4
318,4.0,9,6
319,12.0,12,3
320,8.0,8,6
321,6.0,7,4
322,5.0,9,5
323,3.0,11,6
324,9.0,4,7
325,3891.0,43,4
326,9766.0,4410,32
327,3.0,4407,8
328,0.0,4407,1
329,4.0,4403,32
330,681.0,3722,32
331,3.0,3719,64
332,1.0,3718,128
333,2.0,3716,32
334,350.0,70,1
335,71.0,300,1
336,300.0,82,1
337,83.0,23,1
338,24.0,1,1
339,2.0,1,1
340,1.0,3,1
341,2400.0,32,1
342,79.0,112,1
343,80.0,33,1
344,80.0,1278,1
345,81.0,863,1
346,80.0,37,1
347,79.0,473,1
348,1745.0,7088,128
349,15.0,7073,32
350,1.0,7072,32
351,6.0,7066,32
352,3.0,7063,32
353,9.0,7054,8
354,0.0,7054,64
355,2581.0,147,1
356,5488.0,3168,32
357,1.0,3167,64
358,2.0,3165,128
359,3.0,3162,8
360,2.0,3160,32
361,2.0,3158,32
362,3.0,3155,32
363,706.0,2,5
364,47.0,2,6
365,14612.0,4,1
366,2801.0,43342,11
367,4010.0,37,64
368,68.0,28,64
369,46.0,34,32
370,46.0,32,16
371,56.0,16,24
372,34.0,26,28
373,46.0,15,26
374,25.0,25,27
375,56.0,20,27
376,36.0,29,64
377,39.0,26,64
378,35.0,32,32
379,155.0,21,8
380,36.0,56,32
381,90.0,1051,64
382,8427.0,14,8
383,107.0,3,8
384,43.0,19,8
385,152.0,61,64
386,122.0,15,8
387,15.0,54,64
388,163.0,698,64
389,939.0,17174,64
390,9.0,14266,64
391,0.0,17302,64
392,223.0,11,8
393,26.0,5,8
394,38.0,33,8
395,140.0,35,8
396,553.0,43363,32
397,343.0,20224,32
398,1551.0,43353,32
399,1800.0,1468,64
400,1525.0,178,64
401,301.0,15,8
402,54.0,13,8
403,26.0,40,2
404,148.0,14,8
405,13.0,20,8
406,21.0,29,2
407,145.0,304,64
408,581.0,17504,32
409,528.0,12600,8
410,8043.0,4657,64
411,1727.0,599,64
412,2828.0,12635,8
413,108.0,4701,64
414,4113.0,1231,64
415,590.0,4691,64
416,4014.0,43,4
417,109.0,1181,1
418,576.0,4662,64
419,3126.0,12515,8
420,1540.0,4644,64
421,4652.0,4651,64
422,815.0,65,1
423,66.0,197,1
424,197.0,78,1
425,79.0,532,1
426,532.0,1,1
427,2.0,1,1
428,2.0,2,1
429,2005.0,63,1
430,79.0,138,1
431,80.0,30,1
432,79.0,1351,1
433,80.0,1154,1
434,80.0,85,1
435,81.0,265,1
436,80.0,10189,1
437,80.0,62,1
438,81.0,21,1
439,79.0,323,1
440,79.0,202,1
441,78.0,4640,64
442,5.0,92,1
443,87.0,535,1
444,82.0,691,1
445,1495.0,10183,8
446,273.0,142,1
447,2701.0,4675,64
448,4675.0,2517,64
449,2565.0,5592,64
450,0.0,19334,64
451,1641.0,97,32
452,417.0,43344,64
453,140.0,43377,32
454,71.0,286,32
455,75.0,286,32
456,116.0,2466,32
457,69.0,17700,32
458,323.0,23258,32
459,490.0,28,4
460,172.0,28,4
461,96.0,1982,16
462,0.0,31023,16
463,60.0,21,4
464,21.0,19,4
465,134.0,25518,8
466,154.0,66,32
467,156.0,26,4
468,22.0,112,4
469,22.0,38,4
470,31.0,27,4
471,270.0,55,4
472,146.0,19,4
473,234.0,60,4
474,5308.0,11,1
475,17.0,17755,64
476,5.0,17750,64
477,8.0,17742,8
478,5.0,17737,16
479,93.0,17644,32
480,298.0,17346,32
481,1013.0,10808,1
482,1428.0,828,64
483,30.0,14875,32
484,1612.0,23,4
485,69.0,11,4
486,27.0,15,8
487,44.0,8,16
488,1891.0,1062,4
489,19.0,3766,8
490,22.0,2575,16
491,1502.0,25469,8
492,8.0,33185,8
493,1.0,9680,8
494,7.0,9673,8
495,594.0,95,2
496,192.0,4,4
497,12.0,95,4
498,1114.0,23,4
499,49.0,97,4
500,382.0,28,4
501,265.0,17298,64
502,213.0,22,4
503,41.0,476,4
504,29.0,473,8
505,27.0,563,16
506,206.0,28,4
507,167.0,29,4
508,107.0,25,4
509,70.0,25,4
510,470.0,27,4
511,185.0,12,4
512,73.0,31,4
513,118.0,69,4
514,122.0,212,4
515,279.0,18121,64
516,379.0,85,4
517,167.0,17431,32
518,349.0,67,4
519,1585.0,61,4
520,109.0,4,5
521,414.0,6029,64
522,4.0,1951,64
523,29.0,7145,64
524,20.0,8639,32
525,93.0,8388,32
526,37.0,6957,64
527,23.0,2239,32
528,36.0,3,1
529,5.0,1,2
530,26.0,1682,1
531,18.0,2312,32
532,361.0,4,1
533,15.0,13,1
534,51.0,23,1
535,24.0,13,2
536,14.0,3,3
537,39.0,4,1
538,5.0,3,2
539,4.0,4,3
540,4.0,4,4
541,5.0,3,5
542,4.0,4,6
543,5.0,4,7
544,4.0,4,2
545,4.0,4,4
546,3.0,36,2
547,1.0,4,6
548,5.0,3,3
549,4.0,3,6
550,4.0,3,4
551,4.0,3,5
552,4.0,4,6
553,4.0,3,7
554,4.0,9,1
555,10.0,6,2
556,6.0,6,3
557,6.0,6,4
558,6.0,5,5
559,6.0,5,6
560,6.0,5,7
561,6.0,5,2
562,0.0,161,2
563,5.0,5,4
564,6.0,5,6
565,6.0,4,3
566,5.0,5,6
567,5.0,5,4
568,5.0,5,5
569,5.0,5,6
570,5.0,4,7
571,5.0,22,1
572,23.0,14,2
573,14.0,11,3
574,12.0,9,4
575,26.0,2,5
576,3.0,2,6
577,3.0,8,7
578,9.0,15,2
579,16.0,8,4
580,9.0,7,6
581,8.0,9,3
582,10.0,6,6
583,7.0,7,4
584,8.0,7,5
585,8.0,6,6
586,7.0,5,7
587,10602.0,239,32
588,59.0,236,32
589,65.0,1749,32
590,76.0,43342,32
591,3849.0,340,2
592,363.0,104,2
593,329.0,408,4
594,430.0,80,4
595,158.0,63,4
596,184.0,101,4
597,139.0,22,4
598,157.0,6,4
599,76.0,44,4
600,137.0,81,4
601,370.0,6667,16
602,280.0,104,4
603,124.0,84,4
604,226.0,8221,16
605,6424.0,22508,64
606,6147.0,24968,8
607,57.0,25230,8
608,2503.0,51,4
609,1144.0,566,1
610,1846.0,30719,16
611,2172.0,33273,8
612,5656.0,64,1
613,65.0,184,1
614,184.0,81,1
615,81.0,537,1
616,538.0,1,1
617,1.0,2,1
618,2.0,2,1
619,2013.0,62,1
620,80.0,436,1
621,79.0,30,1
622,80.0,1299,1
623,79.0,1449,1
624,81.0,90,1
625,83.0,2261,1
626,79.0,6444,1
627,81.0,59,1
628,80.0,26,1
629,79.0,146,1
630,79.0,312,1
631,80.0,54,1
632,80.0,611,1
633,88.0,758,1
634,1768.0,43,1
635,5812.0,25046,8
636,317.0,25511,8
637,2430.0,1131,16
638,1569.0,10991,16
639,3326.0,31949,16
640,441.0,36774,32
641,63.0,6198,64
642,1290.0,6913,64
643,1855.0,30717,16
644,2643.0,18,8
645,431.0,29,8
646,199.0,34,2
647,946.0,18,8
648,228.0,7,8
649,43.0,6,8
650,41.0,13,8
651,197.0,9,8
652,4.0,33023,8
653,29.0,13,8
654,1169.0,13,8
655,2203.0,171,4
656,18.0,161,8
657,25.0,184,16
658,464.0,16,8
659,503.0,14,8
660,103.0,14,8
661,124.0,640,64
662,889.0,46,8
663,453.0,219,16
664,403.0,216,8
665,1039.0,29342,64
666,977.0,15,8
667,266.0,22,8
668,30.0,11,2
669,55.0,39,2
670,272.0,25409,8
671,83.0,13,8
672,22.0,35,2
673,125.0,11,8
674,110.0,9,8
675,186.0,6,8
676,78.0,7,8
677,33.0,16,8
678,27.0,9,8
679,118.0,25574,8
680,61.0,8,8
681,19.0,10,8
682,6.0,43347,32
683,61.0,7728,32
684,160.0,14014,32
685,202.0,17472,32
686,1824.0,5537,64
687,78.0,866,16
688,1083.0,3753,16
689,5597.0,8367,16
690,89.0,9,8
691,1095.0,1193,64
692,1812.0,94,64
693,1679.0,31653,16
694,2428.0,30760,16
695,3372.0,1,1
696,242.0,1,1
697,4.0,0,1
698,49.0,1,1
699,29.0,0,1
700,11.0,1,1
701,8.0,1,1
702,3.0,1,1
703,3.0,1,1
704,50.0,3,1
705,17.0,25,1
706,1976.0,43345,128
707,1132.0,3,10
708,124.0,32858,8
709,829.0,56,32
710,62.0,55,32
711,151.0,50,32
712,372.0,25059,8
713,951.0,25426,8
714,1377.0,31077,64
715,5174.0,1,1
716,6046.0,53,4
717,518.0,1995,1
718,6721.0,31709,16
719,1538.0,31103,16
720,2028.0,67,1
721,68.0,194,1
722,195.0,75,1
723,76.0,34,1
724,34.0,1,1
725,2.0,1,1
726,2.0,2,1
727,328.0,25468,8
728,1322.0,25336,8
729,859.0,99,1
730,79.0,94,1
731,80.0,30,1
732,80.0,1101,1
733,79.0,606,1
734,79.0,81,1
735,85.0,267,1
736,80.0,7006,1
737,79.0,64,1
738,80.0,24,1
739,79.0,138,1
740,79.0,366,1
741,80.0,47,1
742,79.0,493,1
743,83.0,642,1
744,1768.0,273,1
745,1323.0,32757,8
746,1956.0,34875,64
747,4887.0,1,1
748,1532.0,129,4
749,229.0,125,4
750,372.0,62,64
751,80.0,125,4
752,231.0,126,4
753,1797.0,8361,16
754,2279.0,17,4
755,450.0,24,8
756,34.0,15,4
757,83.0,15,4
758,299.0,43361,32
759,59.0,14,8
760,18.0,15,4
761,283.0,30,8
762,78.0,19,4
763,161.0,18,8
764,25.0,15,4
765,133.0,810,32
766,1739.0,17375,32
767,175.0,108,256
768,24.0,45,4
769,52.0,67,4
770,492.0,17926,64
771,118.0,17260,64
772,278.0,16866,64
773,716.0,6,4
774,495.0,25392,8
775,902.0,26,32
776,33.0,55,32
777,251.0,25387,8
778,81.0,33,32
779,83.0,1080,32
780,34.0,31,8
781,68.0,811,32
782,520.0,31806,16
783,606.0,2144,16
784,66.0,25,8
785,387.0,18,8
786,197.0,133,4
787,452.0,4565,4
788,1417.0,18,16
789,143.0,22,8
790,160.0,0,8
791,21.0,0,8
792,9.0,16,8
793,132.0,16,8
794,3298.0,5627,4
795,92.0,1178,64
796,1306.0,23,64
797,52.0,1277,64
798,1245.0,344,4
799,373.0,80,4
800,137.0,559,64
801,197.0,228,4
802,386.0,37,2
803,60.0,1236,64
804,978.0,32920,8
805,503.0,33,2
806,114.0,1281,64
807,666.0,47,4
808,491.0,87,4
809,311.0,305,16
810,787.0,1,1
811,43.0,155,16
812,1164.0,34209,64
813,2556.0,1254,16
814,4252.0,17512,32
815,822.0,25569,8
816,519.0,2,4
817,544.0,73,64
818,112.0,25194,8
819,192.0,201,64
820,98.0,34064,11
821,68.0,34192,11
822,798.0,73,4
823,96.0,41,4
824,99.0,37,4
825,120.0,6740,4
826,11.0,94,4
827,653.0,2,1
828,128.0,2,10
829,137.0,3,10
830,716.0,3,4
831,12.0,9,16
832,22.0,60,16
833,710.0,9,16
834,28.0,10,16
835,19.0,9,16
836,1379.0,9,16
837,103.0,10,16
838,1773.0,43352,128
839,47.0,31553,16
840,6345.0,6,8
841,15.0,5,8
842,1557.0,5,8
843,24.0,5,8
844,4897.0,33184,8
845,2803.0,53,4
846,777.0,11,64
847,40.0,2,1
848,27.0,1,1
849,22.0,2,1
850,10.0,1,1
851,669.0,25665,8
852,403.0,2117,1
853,406.0,24717,8
854,2679.0,11,2
855,841.0,1,2
856,56.0,2,2
857,416.0,2,2
858,298.0,1,1
859,12.0,1,1
860,466.0,2,2
861,1356.0,3,2
862,2329.0,66,1
863,67.0,334,1
864,334.0,78,1
865,79.0,15,1
866,16.0,1,1
867,2.0,2,1
868,3.0,2,1
869,121.0,1,1
870,7.0,1,1
871,10.0,1,1
872,400.0,3,2
873,37.0,2,1
874,11.0,1,1
875,9.0,1,1
876,6.0,1,1
877,183.0,2,2
878,344.0,1,1
879,7.0,2,1
880,1249.0,102,1
881,80.0,86,1
882,80.0,71,1
883,79.0,1335,1
884,80.0,238,1
885,79.0,98,1
886,83.0,275,1
887,86.0,8275,1
888,80.0,55,1
889,79.0,32,1
890,80.0,252,1
891,79.0,402,1
892,79.0,52,1
893,80.0,519,1
894,82.0,648,1
895,437.0,2,2
896,13.0,54,1
897,69.0,7,1
898,295.0,1,2
899,10.0,1,1
900,6.0,1,1
901,271.0,31860,16
902,136.0,2,2
903,11.0,1,1
904,15.0,1,1
905,256.0,1,2
906,11.0,1,1
907,18.0,1,1
908,225.0,461,1
909,3897.0,32733,64
910,6582.0,25012,8
911,147.0,25293,8
912,352.0,17422,32
913,336.0,7,4
914,180.0,3873,4
915,124.0,3590,4
916,2176.0,32400,8
917,10050.0,5,8
918,17.0,38,8
919,166.0,5,8
920,14.0,20,8
921,770.0,11,64
922,19.0,3,10
923,32.0,2,10
924,5.0,3,10
925,127.0,3,10
926,7.0,2,10
927,4.0,3,10
928,5.0,2,10
929,1319.0,1,1
930,148.0,1,1
931,693.0,5,1
932,14.0,6,1
933,416.0,2,1
934,213.0,1,1
935,559.0,1,1
936,87.0,1,1
937,3.0,1,1
938,2.0,2,1
939,3.0,1,1
940,3.0,2,1
941,122.0,1,1
942,4.0,1,1
943,3.0,1,1
944,9.0,2,1
945,5.0,2,1
946,4.0,2,1
947,332.0,1,1
948,60.0,1,1
949,136.0,1,1
950,13.0,1,1
951,7.0,1,1
952,115.0,1,1
953,5.0,2,1
954,70.0,4,1
955,12.0,4,1
956,46.0,30,1
957,41.0,29,1
958,1739.0,31992,16
959,3534.0,17378,32
960,764.0,25168,8
961,388.0,8,16
962,16.0,9,16
963,17.0,9,16
964,10.0,25349,8
965,1.0,13,16
966,447.0,43338,11
967,45.0,43342,11
968,216.0,33696,64
969,2023.0,3649,4
970,193.0,7953,4
971,3457.0,3662,4
972,3669.0,3692,4
973,221.0,31809,8
974,1163.0,9,16
975,134.0,8,16
976,52.0,9,16
977,729.0,9,16
978,113.0,9,16
979,28.0,8,16
980,25.0,9,16
981,37.0,165643,16
982,295.0,5,8
983,44.0,17,8
984,36.0,5,8
985,19.0,6,8
986,31.0,5,8
987,24.0,25,8
988,35.0,10,8
989,710.0,3726,4
