u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
0,1,0,32768,512,0,18431.92,21600,Pass
1,1,0,49152,768,1126233,18341.22,21600,Pass
2,2,0,16384,256,788164,2854.59,21600,Pass
3,2,0,16896,264,1125,7644.15,17820,Pass
4,3,0,40960,640,862573,43269.53,43200,Killed
5,1,0,163840,2560,7712,42388.64,46800,Pass
6,1,0,57344,896,29921,86477.7,86400,Killed
7,1,0,40960,640,238377,43245.01,43200,Killed
8,4,0,203520,3180,62609,1755.37,2400,Pass
9,1,0,41472,648,19430,43229.14,43200,Killed
10,1,0,51328,802,38395,43721.95,86400,Pass
11,5,0,262144,4096,36836,3648.7,3600,Killed
12,5,0,262144,4096,48,3634.13,3600,Killed
13,5,0,262144,4096,32,3669.52,3600,Killed
14,1,0,65536,1024,98970,38638.54,75600,Killed
15,6,0,197696,3089,158753,3929.47,7200,Pass
16,6,0,215488,3367,1426,4363.39,7200,Pass
17,6,0,217728,3402,1339,79.96,7200,Failed
18,6,0,220224,3441,1376,4457.61,7200,Pass
19,6,0,213312,3333,1328,4164.56,7200,Pass
20,6,0,212288,3317,1220,4164.31,7200,Pass
21,6,0,224128,3502,1212,4570.76,7200,Pass
22,6,0,201664,3151,1148,4151.57,7200,Pass
23,6,0,223040,3485,1227,4723.9,7200,Pass
24,6,0,224384,3506,1200,4270.69,7200,Pass
25,1,0,262144,4096,495,21655.97,21600,Killed
26,6,0,209600,3275,657,4526.74,7200,Pass
27,6,0,221376,3459,1151,4265.62,7200,Pass
28,6,0,222080,3470,1133,4493.45,7200,Pass
29,6,0,202304,3161,1040,3997.86,7200,Pass
30,6,0,188416,2944,1014,3798.98,7200,Pass
31,6,0,111040,1735,657,3094.09,7200,Pass
32,6,0,177920,2780,897,3713.8,7200,Pass
33,6,0,218560,3415,1118,4455.3,7200,Pass
34,6,0,221376,3459,1143,4531.5,7200,Pass
35,6,0,222528,3477,1169,4620.66,7200,Pass
36,1,0,49152,768,151917,38975.92,43200,Pass
37,1,0,24576,384,112124,32078.12,32400,Pass
38,1,0,24576,384,2401,14503.35,32400,Pass
39,1,0,24576,384,1463,32443,32400,Killed
40,1,0,24576,384,8804,8134.57,32400,Pass
41,1,0,24576,384,827,140.08,32400,Pass
42,1,0,16384,256,45485,21654.66,21600,Pass
43,1,0,8192,128,6104,5995.18,10800,Pass
44,1,0,16384,256,5351,21628.64,21600,Killed
45,1,0,512,8,10000,3632.92,3600,Killed
46,1,0,8192,128,14024,5880.94,10800,Pass
47,1,0,8192,128,5898,5829.52,10800,Pass
48,1,0,8192,128,5830,5235.68,10800,Pass
49,1,0,12288,192,152,10862.96,10800,Killed
50,1,0,8192,128,834,57.07,10800,Pass
51,7,0,131072,2048,3897,21657.01,21600,Killed
52,7,0,131072,2048,82,21652.5,21600,Killed
53,1,0,8192,128,285,5247.99,10800,Pass
54,1,0,8192,128,5704,5288.25,10800,Pass
55,1,0,8192,128,5416,5236.58,10800,Pass
56,1,0,8192,128,5254,5264.65,10800,Pass
57,1,0,8192,128,5307,5203.48,10800,Pass
58,1,0,8192,128,5216,5313.58,10800,Pass
59,7,0,32768,512,5278,3630.86,3600,Pass
60,7,0,65536,1024,23,116.66,3600,Pass
61,1,0,8192,128,12,5293.23,10800,Pass
62,1,0,24576,384,2025,22417.36,32400,Pass
63,1,0,8192,128,3266,5291.88,10800,Pass
64,1,0,8192,128,2667,38.53,10800,Pass
65,1,0,512,8,521,797.94,3600,Killed
66,1,0,512,8,866,2681.44,3600,Pass
67,1,0,8192,128,1220,5238.57,10800,Pass
68,1,0,8192,128,5239,5328.48,10800,Pass
69,1,0,51328,802,1997,86440.58,86400,Killed
70,1,0,8192,128,3312,5252.19,10800,Pass
71,1,0,512,8,3341,2554.1,3600,Pass
72,1,0,8192,128,1914,5288.32,10800,Pass
73,1,0,8192,128,1589,59.37,1800,Killed
74,1,0,8192,128,1029,742.47,1800,Pass
75,1,0,8192,128,1109,10845.62,10800,Killed
76,1,0,8192,128,124,9882.05,10800,Pass
77,1,0,8192,128,1455,5248.54,10800,Pass
78,1,0,8192,128,5392,5311.62,10800,Pass
79,1,0,384,6,4134,377.67,1200,Pass
80,1,0,8192,128,1260,5312.88,10800,Pass
81,1,0,384,6,751,79.2,1500,Pass
82,1,0,384,6,1287,735.39,1500,Pass
83,7,0,8192,128,873,1744.37,3600,Pass
84,1,0,384,6,637,747.15,1500,Pass
85,1,0,8192,128,1826,5276.35,10800,Pass
86,1,0,384,6,0,695.6,1020,Pass
87,1,0,384,6,1032,714.41,1020,Pass
88,1,0,41472,648,356,36932.53,43200,Killed
89,1,0,384,6,666,695.97,1020,Pass
90,7,0,65536,1024,213,116.66,3600,Pass
91,7,0,65536,1024,40,118.73,3600,Pass
92,1,0,384,6,780,692.65,1020,Pass
93,1,0,384,6,1030,759.65,1020,Pass
94,1,0,384,6,1022,725.56,1020,Pass
95,1,0,8192,128,136,5338.87,10800,Pass
96,1,0,8192,128,366,9939.56,10800,Pass
97,1,0,8192,128,15,9804.79,10800,Pass
98,1,0,8192,128,5,9947.28,10800,Pass
99,1,0,384,6,500,698.55,1020,Pass
100,1,0,384,6,1022,679.4,1020,Pass
101,1,0,384,6,1028,691.36,1020,Pass
102,1,0,384,6,1022,738.3,1020,Pass
103,1,0,384,6,1024,827.33,1020,Pass
104,1,0,8192,128,298,5327.85,10800,Pass
105,1,0,384,6,730,808.26,1020,Pass
106,1,0,384,6,1028,716.52,1020,Pass
107,8,0,512,8,637,1663.95,3600,Pass
108,1,0,384,6,385,696.48,1020,Pass
109,1,0,384,6,1026,668.45,1020,Pass
110,8,0,64,1,316,813.28,3600,Pass
111,1,0,384,6,715,702.85,1020,Pass
112,8,0,512,8,165,1400.2,3600,Pass
113,1,0,8192,128,344,5280.92,10800,Pass
114,1,0,384,6,591,700.06,1020,Pass
115,8,0,256,4,541,78.76,3600,Pass
116,8,0,512,8,183,1587.27,3600,Pass
117,1,0,384,6,299,719.36,1020,Pass
118,1,0,384,6,1029,715.03,1020,Pass
119,8,0,128,2,399,39.85,3600,Pass
120,8,0,512,8,103,1777.33,3600,Pass
121,1,0,384,6,520,682.72,1020,Pass
122,1,0,384,6,1022,711.99,1020,Pass
123,1,0,16384,256,55,21646.12,21600,Killed
124,8,0,128,2,244,98.91,3600,Pass
125,8,0,256,4,175,179.59,3600,Pass
126,1,0,8192,128,195,5297.1,10800,Pass
127,8,0,512,8,49,1333.05,3600,Pass
128,1,0,384,6,306,698.34,1020,Pass
129,1,0,384,6,1024,719.38,1020,Pass
130,8,0,512,8,975,1143.16,3600,Pass
131,1,0,384,6,47,698.7,1020,Pass
132,8,0,64,1,1165,679.23,3600,Pass
133,8,0,512,8,761,1035.59,3600,Pass
134,1,0,8192,128,965,5272.53,10800,Pass
135,8,0,256,4,136,61.25,3600,Pass
136,8,0,512,8,144,1114.72,3600,Pass
137,8,0,128,2,1193,37.87,3600,Pass
138,8,0,512,8,123,1155.6,3600,Pass
139,8,0,128,2,1232,63.15,3600,Pass
140,8,0,256,4,144,80.93,3600,Pass
141,8,0,512,8,143,852.91,3600,Pass
142,1,0,8192,128,2187,5239.72,10800,Pass
143,1,0,16384,256,1192,38.18,21600,Pass
144,1,0,16384,256,1959,4600.71,21600,Pass
145,1,0,8192,128,2113,5214.08,10800,Pass
146,1,0,16384,256,3127,21649.92,21600,Killed
147,7,0,65536,1024,576,1250.43,3600,Pass
148,7,0,65536,1024,1369,21648.61,21600,Pass
149,1,0,8192,128,180,5285.94,10800,Pass
150,1,0,384,6,575,725.64,1020,Pass
151,1,0,51328,802,1241,62.17,86400,Killed
152,1,0,384,6,82,379.28,480,Pass
153,1,0,40960,640,81,43222.36,43200,Killed
154,1,0,16384,256,83,21627.97,21600,Killed
155,1,0,11264,176,281,2442.73,10800,Pass
156,1,0,384,6,37,340.47,480,Pass
157,1,0,8192,128,138,9687.88,10800,Pass
158,1,0,8192,128,40,9724.54,10800,Pass
159,1,0,8192,128,22,9756.92,10800,Pass
160,1,0,8192,128,27,9799.27,10800,Pass
161,1,0,384,6,371,515.89,1020,Pass
